"household_id","province","urban_rural","household_size","income_category","enumeration_area","dwelling_type"
1969,"Mpumalanga","Rural",1,"Medium","EA_0156","Traditional"
1970,"KwaZulu-Natal","Urban",5,"Low","EA_0062","Flat"
1971,"Gauteng","Urban",3,"Low","EA_0446","House"
1972,"Limpopo","Urban",1,"High","EA_0165","Flat"
1973,"Western Cape","Urban",4,"Low","EA_0207","Flat"
1974,"Limpopo","Rural",5,"Low","EA_0326","House"
1975,"KwaZulu-Natal","Rural",6,"Medium","EA_0263","House"
1976,"Free State","Urban",4,"Low","EA_0345","Flat"
1977,"Gauteng","Urban",6,"Low","EA_0161","Townhouse"
1978,"Eastern Cape","Urban",4,"Medium","EA_0372","House"
1979,"Eastern Cape","Rural",7,"Low","EA_0097","Traditional"
1980,"Gauteng","Urban",7,"Medium","EA_0247","House"
1981,"Free State","Rural",7,"High","EA_0398","House"
1982,"KwaZulu-Natal","Urban",7,"Medium","EA_0477","Flat"
1983,"KwaZulu-Natal","Urban",7,"Low","EA_0427","Flat"
1984,"Gauteng","Rural",2,"Low","EA_0100","Informal"
1985,"Mpumalanga","Urban",2,"Low","EA_0080","House"
1986,"Western Cape","Urban",6,"Low","EA_0341","Flat"
1987,"Gauteng","Urban",1,"Low","EA_0470","Townhouse"
1988,"KwaZulu-Natal","Rural",6,"Medium","EA_0114","Informal"
1989,"North West","Urban",4,"Low","EA_0269","Flat"
1990,"Free State","Rural",3,"High","EA_0004","Traditional"
1991,"Western Cape","Rural",5,"Medium","EA_0396","Informal"
1992,"Gauteng","Urban",8,"Medium","EA_0044","Flat"
1993,"Western Cape","Urban",4,"Medium","EA_0423","House"
1994,"Free State","Urban",4,"Medium","EA_0487","Townhouse"
1995,"KwaZulu-Natal","Urban",7,"Medium","EA_0059","Flat"
1996,"Limpopo","Urban",5,"Low","EA_0093","Informal"
1997,"Limpopo","Rural",4,"Medium","EA_0448","House"
1998,"Gauteng","Rural",5,"Medium","EA_0326","Traditional"
1999,"Gauteng","Urban",6,"High","EA_0242","House"
2000,"Western Cape","Rural",3,"Low","EA_0051","Traditional"
2001,"Mpumalanga","Urban",4,"High","EA_0280","House"
2002,"KwaZulu-Natal","Rural",8,"High","EA_0109","House"
2003,"Gauteng","Rural",5,"Low","EA_0394","House"
2004,"KwaZulu-Natal","Rural",7,"Low","EA_0450","Informal"
2005,"KwaZulu-Natal","Rural",3,"Low","EA_0008","Traditional"
2006,"Limpopo","Urban",6,"High","EA_0475","House"
2007,"Gauteng","Urban",2,"Low","EA_0199","House"
2008,"Eastern Cape","Urban",8,"Low","EA_0469","Flat"
2009,"Gauteng","Urban",4,"High","EA_0492","House"
2010,"Eastern Cape","Urban",5,"Low","EA_0142","House"
2011,"Gauteng","Urban",4,"Medium","EA_0236","Townhouse"
2012,"Eastern Cape","Urban",4,"Medium","EA_0080","House"
2013,"Gauteng","Urban",4,"Low","EA_0003","House"
2014,"Western Cape","Urban",4,"Low","EA_0032","Townhouse"
2015,"Limpopo","Rural",2,"High","EA_0260","Traditional"
2016,"North West","Urban",3,"Medium","EA_0295","Townhouse"
2017,"Western Cape","Rural",2,"High","EA_0494","House"
2018,"KwaZulu-Natal","Rural",6,"Low","EA_0459","House"
2019,"KwaZulu-Natal","Urban",4,"Low","EA_0498","House"
2020,"Free State","Urban",3,"Low","EA_0067","House"
2021,"KwaZulu-Natal","Rural",4,"Low","EA_0048","House"
2022,"Gauteng","Urban",4,"Medium","EA_0267","House"
2023,"Gauteng","Urban",5,"Low","EA_0497","Flat"
2024,"Free State","Urban",4,"Medium","EA_0351","House"
2025,"Gauteng","Rural",3,"Low","EA_0100","House"
2026,"Eastern Cape","Rural",2,"Medium","EA_0222","Informal"
2027,"Western Cape","Urban",5,"Low","EA_0200","Townhouse"
2028,"Gauteng","Urban",7,"Medium","EA_0034","House"
2029,"Gauteng","Rural",5,"Medium","EA_0067","Traditional"
2030,"Eastern Cape","Urban",4,"Low","EA_0370","Flat"
2031,"KwaZulu-Natal","Rural",7,"High","EA_0482","House"
2032,"Western Cape","Rural",5,"Low","EA_0198","House"
2033,"Mpumalanga","Rural",2,"Medium","EA_0418","Informal"
2034,"Limpopo","Rural",6,"High","EA_0465","House"
2035,"Eastern Cape","Rural",5,"Medium","EA_0195","House"
2036,"Western Cape","Rural",9,"Medium","EA_0316","Traditional"
2037,"Western Cape","Urban",1,"Medium","EA_0006","House"
2038,"KwaZulu-Natal","Urban",6,"Low","EA_0289","House"
2039,"Gauteng","Rural",4,"Low","EA_0018","Traditional"
2040,"Limpopo","Urban",4,"Low","EA_0398","House"
2041,"Western Cape","Urban",2,"High","EA_0404","Flat"
2042,"KwaZulu-Natal","Rural",3,"Medium","EA_0363","House"
2043,"Free State","Rural",4,"Medium","EA_0055","Informal"
2044,"Limpopo","Rural",7,"Low","EA_0139","House"
2045,"Northern Cape","Rural",5,"Low","EA_0395","House"
2046,"Limpopo","Rural",5,"Low","EA_0040","House"
2047,"KwaZulu-Natal","Urban",5,"High","EA_0468","Informal"
2048,"Western Cape","Urban",2,"High","EA_0090","Flat"
2049,"KwaZulu-Natal","Urban",9,"Medium","EA_0486","House"
2050,"Eastern Cape","Urban",4,"Low","EA_0096","Townhouse"
2051,"Gauteng","Rural",5,"Medium","EA_0216","House"
2052,"Gauteng","Urban",9,"Medium","EA_0378","House"
2053,"Limpopo","Rural",5,"Medium","EA_0274","House"
2054,"KwaZulu-Natal","Urban",5,"Low","EA_0166","House"
2055,"Gauteng","Rural",4,"Medium","EA_0280","Traditional"
2056,"Gauteng","Urban",5,"Low","EA_0032","House"
2057,"Gauteng","Urban",10,"Low","EA_0217","House"
2058,"Western Cape","Urban",5,"Low","EA_0061","Informal"
2059,"Mpumalanga","Urban",5,"Low","EA_0299","Townhouse"
2060,"Gauteng","Rural",7,"Medium","EA_0376","House"
2061,"Mpumalanga","Rural",1,"Medium","EA_0382","House"
2062,"KwaZulu-Natal","Urban",2,"High","EA_0360","Townhouse"
2063,"Mpumalanga","Urban",2,"Low","EA_0352","House"
2064,"KwaZulu-Natal","Urban",3,"High","EA_0032","House"
2065,"North West","Rural",5,"Medium","EA_0484","Traditional"
2066,"KwaZulu-Natal","Urban",3,"Medium","EA_0463","House"
2067,"KwaZulu-Natal","Rural",4,"Medium","EA_0148","House"
2068,"Eastern Cape","Urban",3,"Medium","EA_0086","Flat"
2069,"Gauteng","Urban",4,"Low","EA_0092","Townhouse"
2070,"Gauteng","Urban",5,"Low","EA_0457","Flat"
2071,"Limpopo","Urban",4,"High","EA_0051","Flat"
2072,"KwaZulu-Natal","Rural",6,"Low","EA_0412","Traditional"
2073,"Western Cape","Rural",3,"High","EA_0410","Traditional"
2074,"Free State","Rural",5,"Medium","EA_0133","Traditional"
2075,"Gauteng","Rural",3,"Medium","EA_0494","House"
2076,"North West","Rural",7,"Low","EA_0432","Informal"
2077,"Western Cape","Urban",4,"Low","EA_0234","Flat"
2078,"Gauteng","Urban",4,"Medium","EA_0310","Townhouse"
2079,"Western Cape","Rural",6,"High","EA_0234","Traditional"
2080,"Western Cape","Urban",3,"Low","EA_0150","House"
2081,"Northern Cape","Urban",6,"Medium","EA_0179","Townhouse"
2082,"KwaZulu-Natal","Urban",4,"High","EA_0271","House"
2083,"Western Cape","Urban",2,"Medium","EA_0495","House"
2084,"Gauteng","Urban",6,"Low","EA_0247","Informal"
2085,"Western Cape","Urban",3,"Low","EA_0085","Townhouse"
2086,"Mpumalanga","Urban",3,"Medium","EA_0049","House"
2087,"Western Cape","Urban",5,"Low","EA_0219","Flat"
2088,"North West","Urban",5,"Low","EA_0330","House"
2089,"Eastern Cape","Urban",3,"Low","EA_0480","Townhouse"
2090,"KwaZulu-Natal","Urban",5,"Low","EA_0191","Flat"
2091,"Gauteng","Urban",2,"Medium","EA_0410","Townhouse"
2092,"Eastern Cape","Urban",4,"High","EA_0446","Townhouse"
2093,"Western Cape","Rural",4,"Medium","EA_0409","House"
2094,"Limpopo","Urban",4,"Low","EA_0500","Flat"
2095,"North West","Rural",8,"Low","EA_0238","Traditional"
2096,"Mpumalanga","Urban",4,"Low","EA_0337","Flat"
2097,"Eastern Cape","Urban",5,"Low","EA_0165","Informal"
2098,"Western Cape","Urban",3,"Low","EA_0324","Flat"
2099,"KwaZulu-Natal","Rural",7,"Low","EA_0197","Traditional"
2100,"Gauteng","Rural",7,"Medium","EA_0030","House"
2101,"KwaZulu-Natal","Rural",2,"High","EA_0277","House"
2102,"Eastern Cape","Urban",3,"Medium","EA_0488","Flat"
2103,"North West","Rural",5,"Low","EA_0448","Informal"
2104,"Gauteng","Rural",2,"Medium","EA_0069","House"
2105,"Western Cape","Rural",6,"Low","EA_0300","House"
2106,"Eastern Cape","Urban",5,"Medium","EA_0327","House"
2107,"Western Cape","Rural",8,"Medium","EA_0079","House"
2108,"KwaZulu-Natal","Urban",8,"Low","EA_0102","Informal"
2109,"Western Cape","Rural",3,"Low","EA_0304","Informal"
2110,"Gauteng","Urban",4,"Low","EA_0323","Townhouse"
2111,"North West","Urban",4,"Low","EA_0013","House"
2112,"Northern Cape","Rural",6,"High","EA_0148","House"
2113,"Limpopo","Urban",4,"High","EA_0103","Flat"
2114,"Gauteng","Urban",6,"Medium","EA_0499","House"
2115,"Gauteng","Urban",2,"High","EA_0324","House"
2116,"Northern Cape","Urban",5,"Low","EA_0448","House"
2117,"Eastern Cape","Urban",7,"Medium","EA_0360","House"
2118,"KwaZulu-Natal","Urban",5,"Medium","EA_0226","Informal"
2119,"Gauteng","Urban",8,"Low","EA_0434","House"
2120,"Gauteng","Urban",4,"Low","EA_0163","House"
2121,"North West","Urban",3,"Medium","EA_0265","Flat"
2122,"KwaZulu-Natal","Urban",3,"Medium","EA_0132","House"
2123,"Mpumalanga","Urban",4,"Medium","EA_0350","Flat"
2124,"Western Cape","Urban",7,"Low","EA_0217","Flat"
2125,"Eastern Cape","Urban",3,"Medium","EA_0293","Flat"
2126,"Limpopo","Urban",7,"Low","EA_0181","Flat"
2127,"Limpopo","Urban",6,"Medium","EA_0190","Flat"
2128,"Mpumalanga","Urban",6,"Medium","EA_0020","Flat"
2129,"Mpumalanga","Urban",4,"Low","EA_0290","House"
2130,"KwaZulu-Natal","Urban",4,"Low","EA_0325","Townhouse"
2131,"Eastern Cape","Urban",3,"Low","EA_0418","Flat"
2132,"KwaZulu-Natal","Rural",5,"High","EA_0014","House"
2133,"Western Cape","Rural",4,"Medium","EA_0431","Traditional"
2134,"Gauteng","Rural",7,"Low","EA_0197","House"
2135,"Eastern Cape","Rural",6,"High","EA_0225","House"
2136,"Limpopo","Rural",3,"Medium","EA_0019","Traditional"
2137,"KwaZulu-Natal","Rural",5,"Medium","EA_0389","House"
2138,"Gauteng","Urban",4,"Low","EA_0191","Townhouse"
2139,"KwaZulu-Natal","Urban",6,"Low","EA_0294","Flat"
2140,"Western Cape","Urban",3,"Low","EA_0400","Townhouse"
2141,"Gauteng","Urban",3,"High","EA_0264","Informal"
2142,"Limpopo","Urban",3,"Low","EA_0212","Flat"
2143,"Limpopo","Urban",3,"Medium","EA_0215","Flat"
2144,"Western Cape","Urban",5,"High","EA_0108","House"
2145,"Western Cape","Rural",3,"Medium","EA_0302","House"
2146,"Gauteng","Urban",5,"Low","EA_0381","Flat"
2147,"Mpumalanga","Urban",6,"Medium","EA_0128","Townhouse"
2148,"Eastern Cape","Urban",6,"High","EA_0036","House"
2149,"Western Cape","Urban",5,"Low","EA_0435","House"
2150,"Mpumalanga","Rural",4,"Medium","EA_0068","Informal"
2151,"North West","Urban",3,"Medium","EA_0135","Flat"
2152,"Gauteng","Rural",3,"Low","EA_0468","Traditional"
2153,"KwaZulu-Natal","Urban",5,"Medium","EA_0111","House"
2154,"Mpumalanga","Rural",5,"Medium","EA_0489","House"
2155,"Gauteng","Rural",3,"Medium","EA_0330","Traditional"
2156,"Gauteng","Urban",3,"Medium","EA_0265","Flat"
2157,"KwaZulu-Natal","Urban",6,"Low","EA_0266","House"
2158,"KwaZulu-Natal","Urban",5,"Medium","EA_0435","House"
2159,"Northern Cape","Urban",4,"Medium","EA_0294","Townhouse"
2160,"Limpopo","Rural",3,"Low","EA_0023","House"
2161,"Mpumalanga","Urban",9,"Medium","EA_0278","Flat"
2162,"North West","Rural",9,"Medium","EA_0257","Traditional"
2163,"Gauteng","Rural",4,"Medium","EA_0219","Informal"
2164,"Western Cape","Urban",2,"Medium","EA_0203","Flat"
2165,"Gauteng","Rural",5,"Low","EA_0237","Informal"
2166,"KwaZulu-Natal","Urban",6,"High","EA_0403","House"
2167,"Gauteng","Urban",6,"Low","EA_0484","Flat"
2168,"KwaZulu-Natal","Urban",5,"Low","EA_0107","Flat"
2169,"Gauteng","Urban",5,"Low","EA_0453","Flat"
2170,"Gauteng","Urban",3,"Medium","EA_0404","Informal"
2171,"Gauteng","Rural",4,"Medium","EA_0084","House"
2172,"Eastern Cape","Rural",7,"Low","EA_0241","House"
2173,"Mpumalanga","Rural",10,"High","EA_0216","Traditional"
2174,"Eastern Cape","Urban",3,"Medium","EA_0366","Informal"
2175,"Mpumalanga","Urban",4,"Medium","EA_0420","House"
2176,"Gauteng","Urban",3,"Medium","EA_0342","Flat"
2177,"Gauteng","Urban",7,"Medium","EA_0408","Townhouse"
2178,"Gauteng","Urban",4,"Low","EA_0334","House"
2179,"Western Cape","Urban",4,"High","EA_0268","Townhouse"
2180,"Western Cape","Urban",8,"Medium","EA_0286","House"
2181,"Western Cape","Urban",8,"Low","EA_0247","Flat"
2182,"North West","Rural",2,"Medium","EA_0064","House"
2183,"North West","Urban",3,"Medium","EA_0095","Informal"
2184,"Gauteng","Rural",5,"Medium","EA_0280","Traditional"
2185,"Gauteng","Urban",5,"Medium","EA_0063","Townhouse"
2186,"Gauteng","Urban",5,"Low","EA_0275","Informal"
2187,"Gauteng","Rural",1,"Medium","EA_0167","Informal"
2188,"Limpopo","Urban",4,"Low","EA_0225","House"
2189,"Limpopo","Rural",2,"Low","EA_0167","House"
2190,"KwaZulu-Natal","Urban",2,"Low","EA_0458","Flat"
2191,"Western Cape","Urban",3,"High","EA_0131","Informal"
2192,"Limpopo","Rural",5,"Low","EA_0416","Traditional"
2193,"Gauteng","Rural",4,"Low","EA_0161","Informal"
2194,"KwaZulu-Natal","Urban",5,"Medium","EA_0328","House"
2195,"Free State","Rural",4,"Low","EA_0392","Informal"
2196,"KwaZulu-Natal","Rural",7,"Low","EA_0020","House"
2197,"Gauteng","Urban",3,"Low","EA_0387","House"
2198,"Northern Cape","Urban",5,"Low","EA_0283","Flat"
2199,"North West","Rural",3,"Medium","EA_0103","Traditional"
2200,"Limpopo","Rural",7,"High","EA_0003","House"
2201,"Gauteng","Urban",5,"Medium","EA_0193","House"
2202,"KwaZulu-Natal","Rural",1,"Low","EA_0201","House"
2203,"Gauteng","Urban",4,"Medium","EA_0354","House"
2204,"KwaZulu-Natal","Urban",7,"High","EA_0110","Townhouse"
2205,"Gauteng","Urban",5,"High","EA_0446","Townhouse"
2206,"KwaZulu-Natal","Rural",4,"High","EA_0328","Traditional"
2207,"Western Cape","Urban",7,"Medium","EA_0176","Informal"
2208,"Limpopo","Urban",5,"High","EA_0211","Townhouse"
2209,"Limpopo","Rural",6,"Low","EA_0384","House"
2210,"Mpumalanga","Urban",2,"Medium","EA_0132","Flat"
2211,"KwaZulu-Natal","Urban",4,"Low","EA_0266","House"
2212,"Gauteng","Rural",8,"Low","EA_0166","House"
2213,"Eastern Cape","Rural",5,"Medium","EA_0108","House"
2214,"Northern Cape","Urban",1,"Low","EA_0164","House"
2215,"Limpopo","Rural",6,"Low","EA_0412","Traditional"
2216,"Gauteng","Urban",2,"Low","EA_0107","Flat"
2217,"KwaZulu-Natal","Urban",5,"Low","EA_0448","House"
2218,"Western Cape","Rural",7,"Low","EA_0450","Traditional"
2219,"Eastern Cape","Rural",4,"Medium","EA_0066","House"
2220,"Mpumalanga","Urban",1,"Low","EA_0010","Flat"
2221,"Western Cape","Rural",1,"Medium","EA_0180","Traditional"
2222,"Limpopo","Urban",5,"Medium","EA_0020","Townhouse"
2223,"Gauteng","Urban",4,"Low","EA_0047","Townhouse"
2224,"KwaZulu-Natal","Urban",5,"Medium","EA_0092","House"
2225,"Mpumalanga","Rural",4,"Low","EA_0262","Traditional"
2226,"KwaZulu-Natal","Urban",7,"Low","EA_0255","Townhouse"
2227,"Free State","Urban",2,"Low","EA_0130","House"
2228,"Eastern Cape","Rural",4,"Low","EA_0276","Traditional"
2229,"North West","Urban",5,"Medium","EA_0368","Flat"
2230,"KwaZulu-Natal","Rural",3,"Low","EA_0392","House"
2231,"Western Cape","Urban",2,"Medium","EA_0208","House"
2232,"Gauteng","Urban",4,"High","EA_0477","Flat"
2233,"KwaZulu-Natal","Rural",7,"Low","EA_0260","Traditional"
2234,"KwaZulu-Natal","Urban",3,"Medium","EA_0177","Flat"
2235,"Limpopo","Rural",2,"Medium","EA_0391","House"
2236,"Gauteng","Rural",7,"Medium","EA_0415","House"
2237,"Gauteng","Rural",4,"High","EA_0376","Informal"
2238,"KwaZulu-Natal","Rural",2,"High","EA_0045","House"
2239,"Gauteng","Rural",7,"Low","EA_0492","Traditional"
2240,"Western Cape","Urban",4,"Low","EA_0308","House"
2241,"Free State","Urban",4,"Low","EA_0079","Townhouse"
2242,"Western Cape","Rural",6,"Medium","EA_0433","House"
2243,"Eastern Cape","Urban",6,"High","EA_0027","House"
2244,"Western Cape","Rural",5,"Medium","EA_0235","Informal"
2245,"Eastern Cape","Rural",5,"Medium","EA_0139","House"
2246,"Northern Cape","Rural",3,"Low","EA_0021","House"
2247,"Limpopo","Urban",2,"Low","EA_0422","House"
2248,"Mpumalanga","Urban",4,"Low","EA_0296","House"
2249,"Gauteng","Urban",4,"Low","EA_0078","House"
2250,"Mpumalanga","Urban",6,"Low","EA_0022","House"
2251,"Gauteng","Urban",4,"Low","EA_0395","House"
2252,"KwaZulu-Natal","Rural",3,"Low","EA_0313","Informal"
2253,"Free State","Rural",3,"Medium","EA_0090","House"
2254,"Mpumalanga","Rural",5,"Low","EA_0083","House"
2255,"Gauteng","Urban",5,"High","EA_0484","Informal"
2256,"Western Cape","Urban",3,"Medium","EA_0443","House"
2257,"Gauteng","Urban",9,"Low","EA_0163","House"
2258,"Western Cape","Urban",2,"Medium","EA_0437","House"
2259,"Western Cape","Urban",7,"High","EA_0105","Informal"
2260,"Gauteng","Urban",4,"High","EA_0372","Townhouse"
2261,"Limpopo","Urban",3,"Medium","EA_0193","Townhouse"
2262,"KwaZulu-Natal","Urban",2,"Low","EA_0029","Flat"
2263,"Mpumalanga","Urban",3,"Medium","EA_0058","Flat"
2264,"Western Cape","Rural",3,"Medium","EA_0459","House"
2265,"Limpopo","Rural",7,"Medium","EA_0225","House"
2266,"Free State","Urban",4,"Low","EA_0484","Informal"
2267,"Gauteng","Rural",3,"Low","EA_0301","Informal"
2268,"North West","Urban",3,"Medium","EA_0072","House"
2269,"Western Cape","Urban",4,"Medium","EA_0319","Flat"
2270,"Gauteng","Rural",2,"High","EA_0020","Traditional"
2271,"KwaZulu-Natal","Urban",4,"Medium","EA_0417","Informal"
2272,"Western Cape","Urban",10,"Low","EA_0360","Informal"
2273,"Gauteng","Urban",4,"Low","EA_0311","House"
2274,"Eastern Cape","Urban",4,"Low","EA_0145","House"
2275,"Gauteng","Urban",5,"Low","EA_0266","Townhouse"
2276,"Western Cape","Rural",4,"Low","EA_0420","House"
2277,"Western Cape","Urban",4,"Medium","EA_0194","House"
2278,"Gauteng","Urban",5,"Low","EA_0315","Flat"
2279,"Gauteng","Urban",4,"Low","EA_0260","Flat"
2280,"Mpumalanga","Urban",3,"Medium","EA_0050","Flat"
2281,"Gauteng","Rural",5,"Low","EA_0447","House"
2282,"Mpumalanga","Rural",5,"Low","EA_0486","House"
2283,"KwaZulu-Natal","Urban",8,"Medium","EA_0405","House"
2284,"KwaZulu-Natal","Rural",5,"Medium","EA_0236","Traditional"
2285,"Limpopo","Rural",2,"High","EA_0080","House"
2286,"North West","Urban",4,"Low","EA_0438","House"
2287,"Western Cape","Rural",3,"Low","EA_0383","House"
2288,"Western Cape","Urban",4,"Medium","EA_0442","Townhouse"
2289,"Eastern Cape","Urban",4,"High","EA_0140","House"
2290,"Gauteng","Rural",10,"Low","EA_0485","Traditional"
2291,"Limpopo","Rural",3,"Medium","EA_0454","House"
2292,"North West","Urban",2,"High","EA_0080","House"
2293,"KwaZulu-Natal","Urban",5,"Medium","EA_0424","House"
2294,"KwaZulu-Natal","Rural",4,"Medium","EA_0322","House"
2295,"Free State","Rural",6,"Medium","EA_0228","House"
2296,"Western Cape","Rural",8,"Low","EA_0010","Informal"
2297,"Western Cape","Urban",4,"Medium","EA_0271","House"
2298,"Gauteng","Rural",6,"Medium","EA_0081","House"
2299,"Gauteng","Urban",4,"Medium","EA_0343","Informal"
2300,"Eastern Cape","Rural",4,"Low","EA_0292","Traditional"
2301,"Mpumalanga","Urban",9,"Low","EA_0255","House"
2302,"KwaZulu-Natal","Urban",5,"High","EA_0340","Informal"
2303,"Western Cape","Rural",4,"Low","EA_0357","House"
2304,"Western Cape","Rural",3,"Low","EA_0489","House"
2305,"Gauteng","Urban",4,"Medium","EA_0279","Townhouse"
2306,"Gauteng","Urban",2,"Medium","EA_0469","House"
2307,"Gauteng","Rural",6,"Medium","EA_0286","Informal"
2308,"Gauteng","Rural",4,"Low","EA_0276","House"
2309,"Gauteng","Urban",7,"Low","EA_0150","Informal"
2310,"Western Cape","Rural",4,"Medium","EA_0274","Informal"
2311,"Western Cape","Urban",5,"Low","EA_0229","Townhouse"
2312,"Mpumalanga","Urban",5,"Low","EA_0230","Flat"
2313,"Eastern Cape","Rural",3,"Low","EA_0228","Informal"
2314,"Western Cape","Rural",6,"Medium","EA_0456","House"
2315,"Northern Cape","Rural",1,"Medium","EA_0056","Informal"
2316,"Gauteng","Urban",4,"Medium","EA_0142","Flat"
2317,"North West","Urban",4,"Low","EA_0426","Townhouse"
2318,"Limpopo","Urban",6,"Medium","EA_0222","Informal"
2319,"KwaZulu-Natal","Rural",9,"Low","EA_0122","House"
2320,"KwaZulu-Natal","Urban",1,"Low","EA_0071","Informal"
2321,"Eastern Cape","Urban",3,"Medium","EA_0094","House"
2322,"Mpumalanga","Urban",4,"Low","EA_0241","House"
2323,"Gauteng","Urban",5,"Low","EA_0140","Townhouse"
2324,"Mpumalanga","Urban",5,"Low","EA_0083","Flat"
2325,"Gauteng","Urban",7,"Low","EA_0335","Townhouse"
2326,"KwaZulu-Natal","Rural",5,"Low","EA_0322","House"
2327,"Gauteng","Urban",4,"High","EA_0466","Townhouse"
2328,"Mpumalanga","Urban",7,"Medium","EA_0309","Townhouse"
2329,"Mpumalanga","Urban",2,"Low","EA_0078","Flat"
2330,"Limpopo","Urban",4,"Medium","EA_0350","Flat"
2331,"Mpumalanga","Urban",3,"Low","EA_0399","House"
2332,"Western Cape","Urban",4,"Medium","EA_0305","Townhouse"
2333,"KwaZulu-Natal","Urban",7,"Low","EA_0050","House"
2334,"Limpopo","Urban",2,"Medium","EA_0383","Townhouse"
2335,"Western Cape","Rural",3,"Medium","EA_0390","Traditional"
2336,"Gauteng","Urban",5,"Low","EA_0187","House"
2337,"Limpopo","Rural",4,"High","EA_0462","House"
2338,"Western Cape","Rural",4,"Low","EA_0051","House"
2339,"Limpopo","Urban",5,"High","EA_0325","House"
2340,"KwaZulu-Natal","Urban",5,"Low","EA_0043","House"
2341,"Limpopo","Rural",1,"Low","EA_0200","House"
2342,"Eastern Cape","Rural",3,"High","EA_0343","Traditional"
2343,"Gauteng","Urban",10,"Low","EA_0147","Flat"
2344,"KwaZulu-Natal","Urban",3,"Medium","EA_0431","House"
2345,"Western Cape","Rural",6,"Medium","EA_0285","Informal"
2346,"Western Cape","Urban",7,"Medium","EA_0154","Flat"
2347,"Gauteng","Urban",4,"High","EA_0277","House"
2348,"Free State","Urban",6,"Medium","EA_0007","Flat"
2349,"KwaZulu-Natal","Urban",5,"High","EA_0340","House"
2350,"Gauteng","Urban",3,"Low","EA_0169","House"
2351,"Western Cape","Urban",6,"High","EA_0245","Townhouse"
2352,"Western Cape","Urban",4,"Low","EA_0235","Flat"
2353,"KwaZulu-Natal","Rural",5,"Medium","EA_0124","House"
2354,"Eastern Cape","Urban",3,"Low","EA_0038","Townhouse"
2355,"Eastern Cape","Rural",4,"Low","EA_0494","Traditional"
2356,"Eastern Cape","Urban",2,"High","EA_0004","Flat"
2357,"Western Cape","Rural",5,"Low","EA_0052","House"
2358,"KwaZulu-Natal","Urban",5,"High","EA_0246","Townhouse"
2359,"Gauteng","Urban",6,"Medium","EA_0004","Flat"
2360,"Gauteng","Urban",3,"Medium","EA_0428","House"
2361,"Western Cape","Rural",4,"Low","EA_0206","House"
2362,"Gauteng","Urban",2,"High","EA_0262","Flat"
2363,"Limpopo","Urban",1,"Medium","EA_0310","Flat"
2364,"KwaZulu-Natal","Urban",9,"Medium","EA_0055","Flat"
2365,"KwaZulu-Natal","Rural",7,"Low","EA_0444","Traditional"
2366,"North West","Rural",4,"Low","EA_0350","House"
2367,"Western Cape","Urban",7,"Medium","EA_0165","Informal"
2368,"Western Cape","Urban",3,"Low","EA_0336","House"
2369,"Limpopo","Urban",8,"High","EA_0394","Informal"
2370,"Mpumalanga","Rural",8,"Low","EA_0152","Traditional"
2371,"KwaZulu-Natal","Urban",10,"Low","EA_0161","House"
2372,"Western Cape","Urban",3,"Medium","EA_0380","Townhouse"
2373,"Free State","Urban",3,"Medium","EA_0140","Flat"
2374,"Western Cape","Rural",5,"Low","EA_0272","House"
2375,"Gauteng","Urban",2,"Low","EA_0398","House"
2376,"Gauteng","Rural",7,"Medium","EA_0153","Traditional"
2377,"Western Cape","Urban",5,"Low","EA_0411","Townhouse"
2378,"Gauteng","Urban",8,"Medium","EA_0245","House"
2379,"Western Cape","Urban",7,"Medium","EA_0084","House"
2380,"Gauteng","Urban",3,"Low","EA_0443","Flat"
2381,"Western Cape","Urban",4,"Medium","EA_0313","Flat"
2382,"Free State","Urban",5,"High","EA_0487","Flat"
2383,"Mpumalanga","Urban",4,"Low","EA_0258","House"
2384,"KwaZulu-Natal","Rural",5,"High","EA_0201","House"
2385,"KwaZulu-Natal","Rural",3,"Medium","EA_0494","House"
2386,"Gauteng","Rural",3,"Low","EA_0338","House"
2387,"Eastern Cape","Urban",6,"Low","EA_0438","Townhouse"
2388,"Limpopo","Rural",5,"High","EA_0279","Informal"
2389,"Western Cape","Rural",6,"Medium","EA_0359","Traditional"
2390,"Gauteng","Rural",3,"Low","EA_0299","House"
2391,"KwaZulu-Natal","Urban",5,"Low","EA_0482","Flat"
2392,"Western Cape","Urban",7,"Low","EA_0120","House"
2393,"Western Cape","Urban",6,"Low","EA_0288","Townhouse"
2394,"KwaZulu-Natal","Urban",7,"High","EA_0386","Flat"
2395,"Northern Cape","Urban",4,"Medium","EA_0418","Townhouse"
2396,"Eastern Cape","Urban",4,"Medium","EA_0219","House"
2397,"Limpopo","Rural",4,"Low","EA_0169","House"
2398,"KwaZulu-Natal","Urban",2,"High","EA_0432","Flat"
2399,"Western Cape","Urban",5,"Low","EA_0076","House"
2400,"KwaZulu-Natal","Rural",6,"Low","EA_0129","Informal"
2401,"Limpopo","Urban",6,"Low","EA_0404","Flat"
2402,"Gauteng","Urban",5,"Low","EA_0094","Townhouse"
2403,"Western Cape","Urban",6,"Low","EA_0085","Townhouse"
2404,"Gauteng","Rural",3,"Medium","EA_0254","Informal"
2405,"Mpumalanga","Urban",2,"Medium","EA_0018","House"
2406,"Northern Cape","Urban",6,"Low","EA_0014","House"
2407,"KwaZulu-Natal","Urban",4,"Medium","EA_0158","Flat"
